Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
39LmTF9RgyakzSYX8txrow,"imagine","thank u, next","Ariana Grande",2019-02-08,212266,67,indra_sigge_meow,2019-04-07T07:58:53Z,"pop","Republic Records",0.729,0.476,8,-4.985,1,0.0363,0.378,0,0.12,0.368,62.519,3
1TEL6MlSSVLSdhOSddidlJ,"needy","thank u, next","Ariana Grande",2019-02-08,171573,70,indra_sigge_meow,2019-04-07T07:58:58Z,"pop","Republic Records",0.647,0.309,7,-7.948,0,0.0367,0.778,0.00000731,0.202,0.195,87.046,4
4uTvPEr01pjTbZgl7jcKBD,"NASA","thank u, next","Ariana Grande",2019-02-08,182000,62,indra_sigge_meow,2019-04-07T07:59:03Z,"pop","Republic Records",0.747,0.459,6,-6.891,1,0.306,0.448,0,0.252,0.47,75.021,4
2hloaUoRonYssMuqLCBLTX,"bloodline","thank u, next","Ariana Grande",2019-02-08,216893,75,indra_sigge_meow,2019-04-07T07:59:10Z,"pop","Republic Records",0.757,0.665,2,-5.194,0,0.0774,0.0815,0.000158,0.216,0.643,151.979,4
3wFLWP0FcIqHK1wb1CPthQ,"fake smile","thank u, next","Ariana Grande",2019-02-08,208880,61,indra_sigge_meow,2019-04-07T07:59:17Z,"pop","Republic Records",0.45,0.619,9,-7.412,1,0.373,0.329,0,0.319,0.427,83.221,4
5Il6Oe7lr5XM7A0cWbVQtr,"bad idea","thank u, next","Ariana Grande",2019-02-08,267106,64,indra_sigge_meow,2019-04-07T07:59:23Z,"pop","Republic Records",0.847,0.579,1,-5.314,1,0.072,0.0268,0.0546,0.102,0.569,137.998,4
27356GVuMPFWiJSZCragoM,"make up","thank u, next","Ariana Grande",2019-02-08,140693,59,indra_sigge_meow,2019-04-07T07:59:28Z,"pop","Republic Records",0.71,0.715,7,-5.371,1,0.192,0.0845,0.00000145,0.0617,0.479,105.044,3
2vdBo4ALPYbHRUPKgtE5iC,"ghostin","thank u, next","Ariana Grande",2019-02-08,271466,66,indra_sigge_meow,2019-04-07T07:59:33Z,"pop","Republic Records",0.29,0.364,9,-8.295,1,0.0293,0.418,0.0000189,0.185,0.11,103.684,4
4T652DlATVHe0jdLKaN3Bw,"in my head","thank u, next","Ariana Grande",2019-02-08,222946,66,indra_sigge_meow,2019-04-07T07:59:39Z,"pop","Republic Records",0.662,0.6,0,-6.403,1,0.0704,0.173,0.000137,0.109,0.331,134.972,4
6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,82,indra_sigge_meow,2019-04-07T07:59:43Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next","Ariana Grande",2019-02-08,207320,79,indra_sigge_meow,2019-04-07T07:59:48Z,"pop","Republic Records",0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,4
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored","thank u, next","Ariana Grande",2019-02-08,190440,73,indra_sigge_meow,2019-04-07T07:59:54Z,"pop","Republic Records",0.727,0.554,5,-5.29,0,0.0915,0.0421,0,0.106,0.335,170,4
0v2LUO8oTHnkjQ8MmKuXyk,"raindrops (an angel cried)","Sweetener","Ariana Grande",2018-08-17,37640,57,indra_sigge_meow,2019-04-07T08:00:09Z,"pop","Republic Records",0.336,0.231,1,-6.217,1,0.0497,0.942,0,0.188,0.429,168.685,5
4mLkiFppf8Xvem6BSY34qw,"blazed (feat. Pharrell Williams)","Sweetener","Ariana Grande,Pharrell Williams",2018-08-17,196360,53,indra_sigge_meow,2019-04-07T08:00:14Z,"pop,dance pop","Republic Records",0.795,0.759,6,-6.348,1,0.0528,0.0793,0,0.0805,0.855,110.021,4
0sdbFOyfgAhAhWq8DpzkaW,"the light is coming (feat. Nicki Minaj)","Sweetener","Ariana Grande,Nicki Minaj",2018-08-17,228373,57,indra_sigge_meow,2019-04-07T08:00:18Z,"pop,hip pop,queens hip hop,rap","Republic Records",0.877,0.547,7,-5.705,1,0.18,0.0122,0.0000151,0.028,0.687,99.034,4
1xWH8zYtDeS9mW1JJG23VZ,"R.E.M","Sweetener","Ariana Grande",2018-08-17,245666,62,indra_sigge_meow,2019-04-07T08:00:28Z,"pop","Republic Records",0.831,0.485,10,-6.677,0,0.15,0.375,0.0000147,0.118,0.622,80.022,4
5OCJzvD7sykQEKHH7qAC3C,"God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,74,indra_sigge_meow,2019-04-07T08:00:33Z,"pop","Republic Records",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
70khXICDeTTxgYtw3EysKH,"sweetener","Sweetener","Ariana Grande",2018-08-17,208493,66,indra_sigge_meow,2019-04-07T08:00:40Z,"pop","Republic Records",0.721,0.459,4,-6.408,1,0.032,0.248,0,0.212,0.46,119.914,4
5YeHLHDdQ4nKHk81XFWhCU,"successful","Sweetener","Ariana Grande",2018-08-17,227386,62,indra_sigge_meow,2019-04-07T08:00:43Z,"pop","Republic Records",0.847,0.603,0,-4.607,0,0.0397,0.107,0.0000074,0.106,0.735,114.045,4
0WdR2AyLW1Drd3OUdwezM0,"everytime","Sweetener","Ariana Grande",2018-08-17,172106,71,indra_sigge_meow,2019-04-07T08:00:48Z,"pop","Republic Records",0.71,0.614,10,-6.757,0,0.0431,0.186,0,0.0974,0.658,148.152,4
4OafepJy2teCjYJbvFE60J,"breathin","Sweetener","Ariana Grande",2018-08-17,198160,69,indra_sigge_meow,2019-04-07T08:00:54Z,"pop","Republic Records",0.568,0.656,8,-5.413,1,0.0433,0.0211,0.0000137,0.213,0.364,100.049,4
2qT1uLXPVPzGgFOx4jtEuo,"no tears left to cry","Sweetener","Ariana Grande",2018-08-17,205920,75,indra_sigge_meow,2019-04-07T08:01:00Z,"pop","Republic Records",0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,4
4b7mLZQWsy0rLnrMtPA9fQ,"borderline (feat. Missy Elliott)","Sweetener","Ariana Grande,Missy Elliott",2018-08-17,177533,56,indra_sigge_meow,2019-04-07T08:01:03Z,"pop,dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop","Republic Records",0.761,0.818,6,-5.238,0,0.0978,0.058,0,0.11,0.348,110.99,4
3NbTQ8ZbHU6MSEVUFAVCJ9,"better off","Sweetener","Ariana Grande",2018-08-17,171333,62,indra_sigge_meow,2019-04-07T08:01:09Z,"pop","Republic Records",0.597,0.524,11,-7.247,1,0.0537,0.216,0,0.112,0.0549,92.568,4
14kYOiFVPb7E7NfFbqhdln,"goodnight n go","Sweetener","Ariana Grande",2018-08-17,189506,66,indra_sigge_meow,2019-04-07T08:01:12Z,"pop","Republic Records",0.708,0.454,1,-7.07,1,0.0395,0.0217,0,0.073,0.24,110.963,4
0XOnMqLQDO89iAg7dWWwnG,"pete davidson","Sweetener","Ariana Grande",2018-08-17,73813,56,indra_sigge_meow,2019-04-07T08:01:16Z,"pop","Republic Records",0.652,0.31,4,-10.212,1,0.0509,0.43,0.0000116,0.182,0.304,119.913,4
7u6DMPznGbpziuEgCE0JGQ,"get well soon","Sweetener","Ariana Grande",2018-08-17,322026,57,indra_sigge_meow,2019-04-07T08:01:20Z,"pop","Republic Records",0.604,0.449,9,-6.564,0,0.0353,0.657,0,0.0932,0.528,100.355,4
4TZdeM7zelZGz6JPrXSEZ1,"Moonlight","Dangerous Woman","Ariana Grande",2016-05-20,202360,0,indra_sigge_meow,2019-04-07T08:01:43Z,"pop","Universal Records",0.633,0.412,9,-7.339,1,0.0284,0.42,0.00000357,0.048,0.214,102.215,3
7l94dyN2hX9c6wWcZQuOGJ,"Dangerous Woman","Dangerous Woman","Ariana Grande",2016-05-20,235946,4,indra_sigge_meow,2019-04-07T08:01:47Z,"pop","Universal Records",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3
6f5TuB9WtbA1g49A4DcMQ4,"Be Alright","Dangerous Woman","Ariana Grande",2016-05-20,179293,0,indra_sigge_meow,2019-04-07T08:01:53Z,"pop","Universal Records",0.813,0.456,1,-7.667,0,0.0684,0.169,0.00000286,0.105,0.587,108.801,4
2meEiZKWkiN28gITzFwQo5,"Into You","Dangerous Woman","Ariana Grande",2016-05-20,244453,20,indra_sigge_meow,2019-04-07T08:01:59Z,"pop","Universal Records",0.623,0.734,9,-5.948,1,0.107,0.0162,0.00000175,0.145,0.37,107.853,4
