Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7sBwAWyXfiIgrYQ8BaJESH,"Keep The Family Close","Views","Drake",2016-05-06,328906,59,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.378,0.566,9,-7.685,0,0.0482,0.149,0,0.382,0.196,87.691,3
1C7KSXR2GVxknex6I4ANco,"9","Views","Drake",2016-05-06,255786,71,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.68,0.712,10,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009,4
03L2AoiRbWhvt7BDMx1jUB,"U With Me?","Views","Drake",2016-05-06,297373,59,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.429,0.43,2,-11.373,1,0.165,0.338,0.0000118,0.138,0.125,174.983,4
3cjF2OFRmip8spwZYQRKxP,"Feel No Ways","Views","Drake",2016-05-06,240653,71,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.582,0.677,7,-7.081,1,0.172,0.0312,0.0000066,0.122,0.205,193.818,4
5NFYuqu8V6QXc6mzcLImd6,"Hype","Views","Drake",2016-05-06,209413,56,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.787,0.635,4,-8.271,0,0.155,0.0253,0,0.357,0.237,130.018,4
4PA16FAl8LPmFmOhARawdV,"Weston Road Flows","Views","Drake",2016-05-06,253533,60,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.623,0.74,1,-6.942,1,0.307,0.0635,0,0.366,0.35,82.877,4
4cRBqWBjuccCowYVHFlXK6,"Redemption","Views","Drake",2016-05-06,333946,64,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.694,0.314,0,-7.82,1,0.116,0.611,0.00000207,0.117,0.341,119.905,4
3aJkV6DUTSCqOwVwaBDG9B,"With You","Views","Drake,PARTYNEXTDOOR",2016-05-06,195053,60,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,r&b,urban contemporary","Cash Money Records/Young Money Ent./Universal Rec.",0.878,0.406,1,-9.961,1,0.248,0.134,0.000234,0.112,0.784,128.014,4
2qLcJOLrh6Djda4uLbldSA,"Faithful","Views","Drake,dvsn,Pimp C",2016-05-06,290133,54,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,canadian contemporary r&b,r&b,baton rouge rap,chopped and screwed,crunk,dirty south rap,houston rap","Cash Money Records/Young Money Ent./Universal Rec.",0.536,0.449,1,-10.499,1,0.103,0.11,0.0000149,0.284,0.171,99.889,4
433P7tDcIAi6NLnf4Sh6tI,"Still Here","Views","Drake",2016-05-06,189853,61,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.834,0.433,0,-9.607,1,0.174,0.0258,0,0.633,0.229,133.938,3
3O8NlPh2LByMU9lSRSHedm,"Controlla","Views","Drake",2016-05-06,245226,69,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.59,0.468,10,-11.083,0,0.185,0.0789,0,0.101,0.349,92.287,4
1zi7xx7UVEFkmKfv06H8x0,"One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,85,31np6h26g5cy5zvfqf4lw6i64vcm,2023-10-11T16:05:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,uk funky","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
