Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7H1EFQZUXgnZdPLMMeB4Yj,"Best Friend","Best Friend","Yelawolf,Eminem",2014-04-14,314280,0,1119922177,2015-04-19T09:34:42Z,"alabama rap,detroit hip hop,hip hop,rap","Universal Music Group",0.75,0.899,0,-5.048,1,0.0481,0.0175,0,0.0518,0.563,135.986,4
7DIvF0D0eeRuA3wzFD4fAB,"Bad Meets Evil","The Slim Shady LP (Explicit)","Eminem,Royce Da 5'9",1999-02-23,253066,0,1119922177,2015-04-18T22:37:12Z,"detroit hip hop,hip hop,rap,gangster rap,hardcore hip hop","Universal Music Ltd.",0.519,0.891,11,-4.464,0,0.751,0.0356,0,0.753,0.624,189.447,4
0RJeeRfPWqjWdGDmha6AHG,"Git Up","D-12 World","D12",2004-01-01,243266,0,1119922177,2015-04-18T22:32:42Z,"detroit hip hop,gangster rap,hip hop","Interscope",0.671,0.844,11,-2.344,1,0.0595,0.000628,0.0535,0.103,0.344,171.374,4
0ZUykBrERIaCeusqKYljI1,"Pistol Poppin'","The County Hound EP","Ca$his,Eminem",2007-01-01,257880,0,1119922177,2015-04-18T22:32:33Z,"detroit hip hop,hip hop,rap","Interscope",0.766,0.657,2,-2.233,1,0.0928,0.159,0,0.11,0.0938,95.424,4
5tg4wf8MeUUhanGyOo3b2i,"Cum On Everybody","The Slim Shady LP (Explicit)","Eminem",1999-02-23,219226,0,1119922177,2015-04-18T22:32:16Z,"detroit hip hop,hip hop,rap","Universal Music Ltd.",0.891,0.762,11,-6.404,0,0.201,0.0254,0.000349,0.089,0.664,105.114,4
3pzC9NttDQ7XpX2yekn272,"Richard","Bottoms Up","Obie Trice,Eminem",2012-04-02,228133,27,1119922177,2015-04-18T22:32:06Z,"detroit hip hop,gangster rap,hardcore hip hop,hip hop,rap","Black Market Entertainment",0.487,0.903,1,-3.112,1,0.358,0.0733,0,0.147,0.955,83.15,4
2wjJrxQMrQ7thWQQ62NmV8,"Jimmy Crack Corn","Eminem Presents The Re-Up","Eminem,50 Cent",2006-12-04,234453,32,1119922177,2015-04-18T22:31:54Z,"detroit hip hop,hip hop,rap,east coast hip hop,gangster rap,pop rap,queens hip hop","Shady Records",0.585,0.817,6,-2.577,1,0.295,0.0079,0,0.2,0.325,124.128,5
2IOf4FkIJcENy4aFSV8TfX,"One Day At A Time - Em's Version/Album Version","Resurrection (Music From And Inspired By The Motion Picture)","2Pac,Eminem,Outlawz",2003-01-01,223733,0,1119922177,2015-04-18T22:30:49Z,"g funk,gangster rap,hip hop,rap,west coast rap,detroit hip hop","Universal Music Ltd.",0.756,0.891,5,-3.348,0,0.272,0.0295,0,0.18,0.759,92.022,4
1gaLFm6pIwY8sHwal06V53,"What If I Was White","Black Trash: The Autobiography of Kirk Jones","Sticky Fingaz,Eminem",2000-01-01,282280,0,1119922177,2015-04-18T22:30:14Z,"hardcore hip hop,detroit hip hop,hip hop,rap","Universal Records",0.745,0.744,9,-5.397,1,0.442,0.165,0,0.676,0.701,90.603,4
0qaCLJ18R2o17WiXoFI0tr,"Trife Thieves W/Fuzz & Eminem","Attack Of The Weirdos","Bizarre (Of D12)",1998-01-01,238400,33,1119922177,2015-04-18T22:28:43Z,"","Silent Records",0.891,0.582,1,-11.332,1,0.36,0.199,0,0.112,0.866,93.925,4
