Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Z1ozhbWc9XPczRSrFYqBb,"We Don't Care","The College Dropout","Kanye West",2004-02-13,239880,0,11139531209,2022-02-23T19:13:16Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.641,0.743,11,-5.784,0,0.175,0.0149,0,0.225,0.612,83.14,4
2cYZpcIV39X48RnOFM7w2V,"All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-13,223506,0,11139531209,2022-02-23T19:13:27Z,"chicago rap,hip hop,rap,contemporary r&b,neo soul,r&b,urban contemporary","Universal/Island Def Jam",0.643,0.717,8,-4.876,0,0.506,0.184,0,0.152,0.46,90.893,4
0RuJD7YfBO2gvj6smWkAgR,"Spaceship","The College Dropout","Kanye West,GLC,Consequence",2004-02-13,324226,0,11139531209,2022-02-23T19:13:35Z,"chicago rap,hip hop,rap,nyc rap,queens hip hop","Universal/Island Def Jam",0.522,0.773,5,-5.327,0,0.22,0.513,0,0.621,0.652,178.073,3
62r62ArmWq38cu6QCVgyTc,"Jesus Walks","The College Dropout","Kanye West",2004-02-13,193733,1,11139531209,2022-02-23T19:13:39Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.427,0.844,3,-4.597,0,0.427,0.578,0,0.284,0.716,85.346,4
0XMJORJKm4q3iorGAtcait,"Never Let Me Down","The College Dropout","Kanye West,JAY-Z,J. Ivy",2004-02-13,324440,0,11139531209,2022-02-23T19:13:42Z,"chicago rap,hip hop,rap,east coast hip hop,gangster rap,pop rap","Universal/Island Def Jam",0.472,0.811,11,-4.856,0,0.375,0.394,0,0.178,0.636,81.051,4
0eSuBkGm5URmCu6OymIv8x,"Get Em High","The College Dropout","Kanye West,Talib Kweli,Common",2004-02-13,289493,0,11139531209,2022-02-23T19:13:44Z,"chicago rap,hip hop,rap,conscious hip hop,east coast hip hop,alternative hip hop,hardcore hip hop,political hip hop","Universal/Island Def Jam",0.604,0.652,11,-5.665,0,0.373,0.198,0,0.493,0.635,93.181,4
32UioUCnMFsr2UN7SvDyXj,"Slow Jamz","The College Dropout","Twista,Kanye West,Jamie Foxx",2004-02-13,316053,0,11139531209,2022-02-23T19:13:54Z,"chicago rap,dirty south rap,gangster rap,trap,hip hop,rap,contemporary r&b,hip pop,pop rap,r&b,southern hip hop,urban contemporary","Universal/Island Def Jam",0.569,0.744,2,-5.757,0,0.181,0.369,0,0.256,0.59,145.063,4
1g1zk6gOFE63kDszT1luxY,"School Spirit","The College Dropout","Kanye West",2004-02-13,182386,0,11139531209,2022-02-23T19:14:06Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.507,0.803,5,-5.314,0,0.214,0.287,0,0.267,0.647,86.295,4
6GI114RuBiRyc09NcXyU6y,"Two Words","The College Dropout","Kanye West,Mos Def,Freeway,The Boys Choir Of Harlem",2004-02-13,266213,0,11139531209,2022-02-23T19:14:11Z,"chicago rap,hip hop,rap,conscious hip hop,east coast hip hop,battle rap,hardcore hip hop,philly rap,children's choir","Universal/Island Def Jam",0.56,0.805,10,-4.654,0,0.238,0.0175,0.0000066,0.235,0.527,85.063,4
3KUpGMnZL76I9E7FoWV1re,"Through The Wire","The College Dropout","Kanye West",2004-02-13,221226,0,11139531209,2022-02-23T19:14:17Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.548,0.75,7,-6.229,1,0.284,0.00834,0.00000281,0.166,0.617,82.811,4
6wFxUq7Gr44N3uwLjVQRR0,"Family Business","The College Dropout","Kanye West",2004-02-13,278893,0,11139531209,2022-02-23T19:14:20Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.726,0.533,0,-7.49,1,0.216,0.159,0,0.475,0.548,93.702,4
0yfeb8mdWhnvuXPjawDbdy,"Last Call","The College Dropout","Kanye West",2004-02-13,760973,0,11139531209,2022-02-23T19:14:22Z,"chicago rap,hip hop,rap","Universal/Island Def Jam",0.508,0.733,8,-6.859,1,0.372,0.573,0,0.334,0.864,83.255,4
62KeM7jbmYvzT5FycdiQeS,"Wake Up Mr. West","Late Registration","Kanye West",2005-08-30,41066,50,11139531209,2022-02-23T19:14:28Z,"chicago rap,hip hop,rap","Roc-A-Fella",0.746,0.306,10,-9.765,1,0.93,0.817,0,0.0657,0.704,73.346,5
