Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Om9WAB5RS09L80DyOfTNa,"Tim McGraw","Taylor Swift","Taylor Swift",2006-10-24,232106,60,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,4
32mVHdy0bi1XKgr0ajsBlG,"Picture To Burn","Taylor Swift","Taylor Swift",2006-10-24,173066,63,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,4
7zMcNqs55Mxer82bvZFkpg,"Teardrops On My Guitar - Radio Single Remix","Taylor Swift","Taylor Swift",2006-10-24,203040,60,1xrs24juehbgzewnhokda5bh1,2021-01-26T15:20:05Z,"pop","Big Machine Records, LLC",0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,4
73OX8GdpOeGzKC6OvGSbsv,"A Place in this World","Taylor Swift","Taylor Swift",2006-10-24,199200,52,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,4
7an1exwMnfYRcdVQm0yDev,"Cold As You","Taylor Swift","Taylor Swift",2006-10-24,239013,53,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,4
2QA3IixpRcKyOdG7XDzRgv,"The Outside","Taylor Swift","Taylor Swift",2006-10-24,207106,50,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,4
6K0CJLVXqbGMeJSmJ4ENKK,"Tied Together with a Smile","Taylor Swift","Taylor Swift",2006-10-24,248106,51,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,4
2ZoOmCSgj0ypVAmGd1ve4y,"Stay Beautiful","Taylor Swift","Taylor Swift",2006-10-24,236053,51,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,4
16MVSD0mGI4RMQT83Qzm69,"Should've Said No","Taylor Swift","Taylor Swift",2006-10-24,242200,59,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,4
2QrQCMel6v2JiLxqrg4p2O,"Mary's Song (Oh My My My)","Taylor Swift","Taylor Swift",2006-10-24,213080,54,1xrs24juehbgzewnhokda5bh1,2020-06-01T21:30:00Z,"pop","Big Machine Records, LLC",0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,4
