Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0xGQTpN4ESETtl1Sp6rzd2,"São Paulo (feat. Anitta)","São Paulo","The Weeknd,Anitta",2024-10-31,301623,86,l8o89ijmh6zf75qahg5cf0e1e,2024-10-31T02:19:51Z,"canadian contemporary r&b,canadian pop,pop,funk pop,funk rj,pagode baiano,pop nacional","XO / Republic Records",0.574,0.659,5,-7.377,0,0.0768,0.0412,0.0002,0.0921,0.506,127.347,4
1Es7AUAhQvapIcoh3qMKDL,"Timeless (with Playboi Carti)","Timeless","The Weeknd,Playboi Carti",2024-09-27,256000,92,l8o89ijmh6zf75qahg5cf0e1e,2024-09-27T10:50:38Z,"canadian contemporary r&b,canadian pop,pop,atl hip hop,plugg,pluggnb,rage rap,rap","XO / Republic Records",0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
7z7kvUQGwlC6iOl7vMuAr9,"Dancing In The Flames","Dancing In The Flames","The Weeknd",2024-09-13,220036,83,l8o89ijmh6zf75qahg5cf0e1e,2024-09-13T12:11:32Z,"canadian contemporary r&b,canadian pop,pop","XO / Republic Records",0.552,0.73,1,-6.203,1,0.0381,0.0011,0,0.0837,0.162,116.875,4
2ye9iWj5V4g6k6HFeTTAKa,"High For This","House Of Balloons (Original)","The Weeknd",2011-03-21,249102,64,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.466,0.403,4,-10.441,0,0.0502,0.59,0.0000951,0.1,0.0967,75.033,4
4Yw8TyBm9J8cpy2guHUYog,"What You Need","House Of Balloons (Original)","The Weeknd",2011-03-21,206421,70,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.638,0.335,7,-10.522,0,0.0854,0.505,0.0139,0.116,0.0608,133.853,4
2r7BPog74oaTG5shNYiUnV,"House Of Balloons / Glass Table Girls","House Of Balloons (Original)","The Weeknd",2011-03-21,407315,74,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,4
4jBfUB4kQJCWOrjGLQqhO0,"The Morning","House Of Balloons (Original)","The Weeknd",2011-03-21,314109,70,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.682,0.51,6,-9.987,0,0.0441,0.143,0.00000446,0.0797,0.191,120.097,4
00aqkszH1FdUiJJWvX6iEl,"Wicked Games","House Of Balloons (Original)","The Weeknd",2011-03-21,325305,69,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.606,0.57,9,-6.684,1,0.032,0.0217,0.00000847,0.301,0.258,114.033,4
0GROiXm03OrMC5ltXLhGIu,"The Party & The After Party","House Of Balloons (Original)","The Weeknd",2011-03-21,459659,74,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.645,0.58,5,-9.527,0,0.0406,0.22,0,0.0878,0.163,101.733,4
3mHO1J6kfiArjBo1zhLFGP,"Coming Down","House Of Balloons (Original)","The Weeknd",2011-03-21,295435,75,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.694,0.649,2,-5.262,0,0.0353,0.303,0.0000241,0.206,0.344,120.973,4
2yBz1hupoOBncorzuKcJ2z,"Loft Music","House Of Balloons (Original)","The Weeknd",2011-03-21,363057,57,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.257,0.443,6,-9.998,0,0.0921,0.49,0.00049,0.219,0.112,77.528,4
6tjsbysvZh8Pq8DZA5ldrn,"The Knowing","House Of Balloons (Original)","The Weeknd",2011-03-21,342828,54,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.454,0.668,6,-5.821,0,0.03,0.205,0.000841,0.0938,0.168,85.994,4
1FJrsh1NbV9eRw5JQt3M4e,"Twenty Eight","Trilogy","The Weeknd",2012-11-13,258453,58,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.638,0.633,3,-7.338,0,0.0355,0.574,0.000224,0.111,0.243,130.006,4
5JpSjNcjuP8L9QrYmv3xcn,"Lonely Star","Thursday (Original)","The Weeknd",2011-08-18,349032,52,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.483,0.621,2,-8.602,1,0.0393,0.267,0.0284,0.472,0.172,158.001,4
6eJbjaoLRlfwrfWpeS6alF,"Life Of The Party","Thursday (Original)","The Weeknd",2011-08-18,296286,51,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.596,0.553,2,-7.96,1,0.0269,0.00294,0.00148,0.595,0.516,138.107,4
0l1p13Fbujayv894H0hfpS,"Thursday","Thursday (Original)","The Weeknd",2011-08-18,320004,49,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.26,0.491,0,-8.059,0,0.0501,0.476,0.0263,0.0558,0.207,179.327,3
53qYItjefG5SUf62428dIw,"The Zone","Thursday (Original)","The Weeknd,Drake",2011-08-18,418056,56,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop,canadian hip hop,hip hop,pop rap,rap","Universal Republic Records",0.654,0.383,3,-9.875,0,0.0363,0.129,0.000755,0.103,0.268,139.95,4
5SF1kcOiOmtZFUIQNGC4TC,"The Birds Pt. 1","Thursday (Original)","The Weeknd",2011-08-18,214515,53,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.56,0.586,0,-7.382,0,0.0351,0.00176,0,0.0838,0.171,127.873,4
2yYDijitHN6psA2tH0ndXs,"The Birds Pt. 2","Thursday (Original)","The Weeknd",2011-08-18,350583,53,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.278,0.564,9,-7.61,0,0.0357,0.459,0.0000094,0.256,0.177,78.639,3
7xgYvziLsxNd0UznaEw8Oi,"Gone","Thursday (Original)","The Weeknd",2011-08-18,486425,47,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.473,0.478,0,-10.258,0,0.091,0.425,0.000232,0.0629,0.262,109.371,4
4dXnS1YXBkn4oAIxRLPJcK,"Rolling Stone","Thursday (Original)","The Weeknd",2011-08-18,230783,50,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.678,0.352,8,-12.019,0,0.0317,0.536,0.0000529,0.11,0.397,129.92,4
5JQ5Acrgv1VrO9UtMUN052,"Heaven Or Las Vegas","Thursday (Original)","The Weeknd",2011-08-18,353732,46,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.53,0.699,11,-8.558,0,0.063,0.0128,0.000152,0.0865,0.212,125.055,4
4fLnXd56RsWN4ZBtb9TegQ,"Valerie","Trilogy","The Weeknd",2012-11-13,286680,53,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.642,0.544,5,-6.351,0,0.046,0.347,0.00000756,0.0837,0.423,148.004,4
0WdJTI3UVvUMbLwPk5ObKI,"D.D.","Echoes Of Silence (Original)","The Weeknd",2011-12-21,274434,52,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.677,0.663,7,-6.582,0,0.0773,0.687,0,0.643,0.412,119.966,4
0UGdO687azruy9tFlCxO6F,"Montreal","Echoes Of Silence (Original)","The Weeknd",2011-12-21,250505,55,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.54,0.775,7,-4.118,0,0.0992,0.0598,0.0000293,0.624,0.166,183.822,4
58yC1Q6XKjmHeWkEWh9O6B,"Outside","Echoes Of Silence (Original)","The Weeknd",2011-12-21,259004,49,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.578,0.491,5,-7.107,0,0.0469,0.748,0,0.16,0.237,139.97,4
0Hs5enNuaAXmJssAybWbOw,"XO / The Host","Echoes Of Silence (Original)","The Weeknd",2011-12-21,444212,53,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.449,0.717,2,-6.055,1,0.0549,0.419,0.000272,0.346,0.235,127.999,4
3QWENKFYGEgp3itgTnrgq9,"Initiation","Echoes Of Silence (Original)","The Weeknd",2011-12-21,260730,48,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.644,0.691,1,-6.348,1,0.0655,0.555,0.00000559,0.211,0.718,139.953,4
37zSTGaP8bfBDGpJnUmSDl,"Same Old Song","Echoes Of Silence (Original)","The Weeknd,Juicy J",2011-12-21,312058,50,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop,crunk,memphis hip hop,pop rap,rap,southern hip hop,trap","Universal Republic Records",0.795,0.562,8,-4.939,1,0.0439,0.398,0.0000164,0.574,0.408,109.963,4
0JGoOLSl8A80mSPBL7ya9U,"The Fall","Echoes Of Silence (Original)","The Weeknd",2011-12-21,345251,48,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.425,0.782,5,-6.52,0,0.0892,0.737,0.000181,0.5,0.41,150.092,4
6pG3yiKNsX03ZFTFWdOasv,"Next","Echoes Of Silence (Original)","The Weeknd",2011-12-21,361687,52,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.674,0.671,6,-6.323,1,0.0403,0.824,0.00000905,0.334,0.509,112.051,4
3weHnt82LuCTMa2AnZFM78,"Echoes Of Silence","Echoes Of Silence (Original)","The Weeknd",2011-12-21,239995,49,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T13:59:12Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.356,0.201,6,-12.289,0,0.0388,0.974,0.000273,0.108,0.18,130.688,3
6Rqe6ghJ6t9SlQ2pRrt5tI,"Till Dawn (Here Comes The Sun)","Trilogy","The Weeknd",2012-11-13,319693,50,l8o89ijmh6zf75qahg5cf0e1e,2022-11-14T14:03:15Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.697,0.542,9,-8.946,0,0.0436,0.822,0.000434,0.134,0.548,99.988,4
5ZicFGBDAi9J2YCVesboUp,"Professional","Kiss Land","The Weeknd",2013-09-10,368720,52,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.405,0.619,11,-8.92,0,0.0618,0.163,0.000322,0.0788,0.234,120.087,4
7jGr8wzgwOVLuktY66qM5f,"The Town","Kiss Land","The Weeknd",2013-09-10,307346,51,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.625,0.523,1,-8.227,0,0.0369,0.366,0.00000254,0.0826,0.191,139.964,4
4pHQ9RYFhn3W0ha5KEuMnj,"Adaptation","Kiss Land","The Weeknd",2013-09-10,283933,51,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.642,0.792,11,-6.799,0,0.0688,0.159,0.000553,0.305,0.623,114.96,4
3WKYPmiPpJas9j5Aari5iK,"Love In The Sky","Kiss Land","The Weeknd",2013-09-10,267920,50,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.645,0.736,9,-6.862,0,0.0514,0.16,0.000156,0.6,0.347,115.03,4
3D7izPzeEcz7lBhcCZJccl,"Belong To The World","Kiss Land","The Weeknd",2013-09-10,307173,48,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.503,0.858,5,-6.27,0,0.0578,0.00392,0,0.119,0.361,121.007,4
3kgqHVqfiabABjaFi9Tnhn,"Live For","Kiss Land","The Weeknd,Drake",2013-09-10,222666,50,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop,canadian hip hop,hip hop,pop rap,rap","CP Records",0.624,0.68,0,-7.64,1,0.112,0.517,0,0.114,0.227,75.983,4
6V9TlCdwLeQes4FX5zxz3f,"Wanderlust","Kiss Land","The Weeknd",2013-09-10,306773,52,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.637,0.652,1,-5.237,0,0.0435,0.0664,0.177,0.0714,0.0725,115.923,4
5idmfDT06TjCQ1SPDsa5qh,"Kiss Land","Kiss Land","The Weeknd",2013-09-10,455333,60,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.324,0.852,11,-6.675,0,0.109,0.0415,0,0.0609,0.4,121.886,4
0ei3uNcwJOiUocuks1vWcb,"Pretty","Kiss Land","The Weeknd",2013-09-10,375400,52,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.571,0.685,11,-6.829,0,0.0397,0.0355,0.0000343,0.315,0.328,126.044,4
5oAOK7xCJD8hzp9PuxjULL,"Tears In The Rain","Kiss Land","The Weeknd",2013-09-10,444653,52,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.655,0.636,1,-7.841,1,0.0452,0.109,0.23,0.0842,0.191,160.01,4
03j354P848KtNU2FVSwkDG,"Real Life","Beauty Behind The Madness","The Weeknd",2015-08-28,223373,56,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.581,0.652,11,-5.039,0,0.0496,0.439,0,0.351,0.358,90.634,4
1bAvtmTl0F9loyz9AwPwp7,"Losers","Beauty Behind The Madness","The Weeknd,Labrinth",2015-08-28,281146,57,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop,indie poptimism","Universal Republic Records",0.666,0.485,0,-9.85,0,0.053,0.0355,0.000599,0.504,0.287,91.007,4
1mhVXWduD8ReDwusfaHNwU,"Tell Your Friends","Beauty Behind The Madness","The Weeknd",2015-08-28,334333,63,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.583,0.454,1,-11.091,0,0.0425,0.265,0,0.181,0.309,74.64,4
4PhsKqMdgMEUSstTDAmMpg,"Often","Beauty Behind The Madness","The Weeknd",2015-08-28,249040,78,,2020-11-12T23:57:57Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.572,0.631,7,-9.836,0,0.0476,0.222,0,0.135,0.0713,134.078,4
