Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5w7wuzMzsDer96KqxafeRK,"COPYCAT","dont smile at me","Billie Eilish",2017-12-22,194711,71,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.679,0.388,4,-10.977,0,0.0932,0.353,0.0000925,0.341,0.234,124.909,4
41zXlQxzTi6cGAjpOXyLYH,"idontwannabeyouanymore","dont smile at me","Billie Eilish",2017-12-22,203569,78,jessicalazar289,2019-04-07T11:02:38Z,"art pop,pop","Darkroom",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
1RGasjWLZ4qMN7wbtkLa3u,"my boy","dont smile at me","Billie Eilish",2017-12-22,170852,71,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.692,0.394,11,-8.745,0,0.207,0.472,0.000191,0.117,0.324,89.936,4
7eB1V5LvAdxCc7brfGhRRo,"watch","dont smile at me","Billie Eilish",2017-12-22,177523,77,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,4
3WxmlTZ85sCYFnuIXmUAEe,"party favor","dont smile at me","Billie Eilish",2017-12-22,204770,65,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.826,0.188,0,-12.181,1,0.0883,0.882,0.00000283,0.103,0.205,130.022,4
1ni8ZTAY1GHXEFOGHl7fdg,"bellyache","dont smile at me","Billie Eilish",2017-12-22,179172,66,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4
7hDVYcQq6MxkdJGweuCtl9,"ocean eyes","dont smile at me","Billie Eilish",2017-12-22,200379,83,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4
1WsEgieHsWWndAzLkmV105,"hostage","dont smile at me","Billie Eilish",2017-12-22,229425,73,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop","Darkroom",0.427,0.123,9,-15.228,0,0.0497,0.868,0.0000312,0.0732,0.0394,129.565,5
6X7qcg95CAeJpTjtg1wooM,"&burn (with Vince Staples)","dont smile at me","Billie Eilish,Vince Staples",2017-12-22,179015,57,jessicalazar289,2019-04-07T11:03:43Z,"art pop,pop,conscious hip hop,hip hop,rap,underground hip hop","Darkroom",0.776,0.379,9,-9.351,0,0.331,0.213,0.00175,0.0969,0.346,82.531,4
2VlLbhGLVJgdOW7kKdWWFc,"Six Feet Under","Six Feet Under","Billie Eilish",2016-11-17,189613,72,jessicalazar289,2019-07-09T02:55:45Z,"art pop,pop","Darkroom",0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,4
5t3Vk8bRKylx4fjj7qlbib,"bitches broken hearts","bitches broken hearts","Billie Eilish",2018-03-30,176471,73,jessicalazar289,2019-07-04T07:40:39Z,"art pop,pop","Darkroom",0.778,0.422,0,-10.114,1,0.0482,0.921,0.00924,0.0958,0.187,120.033,4
7wC5eZcFS1Q1BsQ35DU6H4,"come out and play","come out and play","Billie Eilish",2018-11-20,210375,68,jessicalazar289,2019-04-07T11:03:28Z,"art pop,pop","Darkroom",0.64,0.321,0,-14.604,1,0.0931,0.693,0.0307,0.114,0.177,145.045,4
0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,86,jessicalazar289,2019-04-07T11:02:28Z,"art pop,pop,pop r&b","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
04sN26COy28wTXYj3dMoiZ,"Bored","Bored","Billie Eilish",2017-03-30,180933,80,jessicalazar289,2019-07-09T02:55:03Z,"art pop,pop","Darkroom",0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4
0rQtoQXQfwpDW0c7Fw1NeM,"!!!!!!!","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,13578,18,jessicalazar289,2019-04-07T11:03:05Z,"art pop,pop","Darkroom/Interscope Records",0,0.278,1,-21.63,1,0,0.768,0,0.669,0,0,0
2Fxmhks0bxGSBdJ92vM42m,"bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,81,jessicalazar289,2019-04-07T11:02:23Z,"art pop,pop","Darkroom/Interscope Records",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
4QIo4oxwzzafcBWkKjDpXY,"xanny","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,243725,69,jessicalazar289,2019-04-07T11:02:46Z,"art pop,pop","Darkroom/Interscope Records",0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,4
3XF5xLJHOQQRbWya6hBp7d,"you should see me in a crown","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,180952,75,jessicalazar289,2019-04-07T11:02:51Z,"art pop,pop","Darkroom/Interscope Records",0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,4
6IRdLKIyS4p7XNiP8r6rsx,"all the good girls go to hell","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,168839,73,jessicalazar289,2019-04-07T11:02:43Z,"art pop,pop","Darkroom/Interscope Records",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4
3Fj47GNK2kUF0uaEDgXLaD,"wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,221543,73,jessicalazar289,2019-04-07T11:02:31Z,"art pop,pop","Darkroom/Interscope Records",0.853,0.351,7,-10.198,1,0.241,0.39,0.00000938,0.752,0.282,118.028,4
43zdsphuZLzwA9k4DJhU0I,"when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,196077,84,jessicalazar289,2019-04-07T11:02:35Z,"art pop,pop","Darkroom/Interscope Records",0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
6X29iaaazwho3ab7GNue5r,"8","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,173201,65,jessicalazar289,2019-04-07T11:03:20Z,"art pop,pop","Darkroom/Interscope Records",0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,4
3Tc57t9l2O8FwQZtQOvPXK,"my strange addiction","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,179889,73,jessicalazar289,2019-04-07T11:02:49Z,"art pop,pop","Darkroom/Interscope Records",0.939,0.305,8,-10.952,0,0.354,0.35,0.000169,0.105,0.563,100.029,4
4SSnFejRGlZikf02HLewEF,"bury a friend","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,193143,74,jessicalazar289,2019-04-07T11:02:26Z,"art pop,pop","Darkroom/Interscope Records",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
7qEKqBCD2vE5vIBsrUitpD,"ilomilo","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,156370,73,jessicalazar289,2019-04-07T11:03:20Z,"art pop,pop","Darkroom/Interscope Records",0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,4
0tMSssfxAL2oV8Vri0mFHE,"listen before i go","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,242652,74,jessicalazar289,2019-04-07T11:03:20Z,"art pop,pop","Darkroom/Interscope Records",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,3
6CcJMwBtXByIz4zQLzFkKc,"i love you","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,291796,80,jessicalazar289,2019-04-07T11:03:20Z,"art pop,pop","Darkroom/Interscope Records",0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4
3LgWsmilsrWXiPYQFRD0T7,"goodbye","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,119409,66,jessicalazar289,2019-04-07T11:03:20Z,"art pop,pop","Darkroom/Interscope Records",0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318,3
