Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tgVpDi06FyKpA1z0VMD4v,"Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,86,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,86,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
34gCuhDGsG4bRPIf9bb02f,"Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,81,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
1HNkqx9Ahdgi1Ixy2xkKkL,"Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,84,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
6PCUP3dWmTjcTtXY02oFdT,"Castle on the Hill","÷ (Deluxe)","Ed Sheeran",2017-03-03,261153,77,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.461,0.834,2,-4.868,1,0.0989,0.0232,0.0000114,0.14,0.471,135.007,4
0afhq8XCExXpqazXczTSve,"Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,76,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
2RttW7RAu5nOAfq6YFvApB,"Happier","÷ (Deluxe)","Ed Sheeran",2017-03-03,207520,74,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
5ubHAQtKuFfiG4FXfLP804,"Lego House","+","Ed Sheeran",2011-09-09,185093,69,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,4
51ChrwmUPDJvedPQnIU8Ls,"Dive","÷ (Deluxe)","Ed Sheeran",2017-03-03,238440,71,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.761,0.386,4,-6.158,1,0.0399,0.355,0,0.0953,0.526,134.943,3
4VuS959DSpr82t3qBqCrWG,"Supermarket Flowers","÷ (Deluxe)","Ed Sheeran",2017-03-03,221106,72,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.589,0.242,6,-10.517,1,0.0442,0.914,0,0.0887,0.257,89.749,4
0SuG9kyzGRpDqrCWtgD6Lq,"Give Me Love","+","Ed Sheeran",2011-09-09,526386,67,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.526,0.328,1,-9.864,1,0.0461,0.694,0,0.112,0.11,116.068,4
1huvTbEYtgltjQRXzrNKGi,"Don't","x (Deluxe Edition)","Ed Sheeran",2014-06-21,219840,69,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
2JiHR4gCDjXwYVRDmwdk95,"Tides","=","Ed Sheeran",2021-10-25,195760,54,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.631,0.825,11,-3.971,1,0.0433,0.0167,0,0.122,0.427,129.942,3
6K8qKeWo5MsFED7wCR6Kop,"Sing","x (Deluxe Edition)","Ed Sheeran",2014-06-21,235382,66,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.818,0.67,8,-4.451,0,0.0472,0.304,0.00000122,0.0601,0.939,119.988,4
1XpYodsD36XN7ygcdF7mJJ,"The A Team","+","Ed Sheeran",2011-09-09,258373,63,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
6PJ8FF6UR8FZXfEvpHkIVN,"How Would You Feel (Paean)","÷ (Deluxe)","Ed Sheeran",2017-03-03,280533,62,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.617,0.439,9,-5.63,1,0.0269,0.424,0,0.127,0.242,139.979,4
50nfwKoDiSYg8zOCREWAm5,"Shivers","=","Ed Sheeran",2021-10-25,207853,83,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4
5TvFfDlVoUWZvfqrhTJzD7,"One","x (Deluxe Edition)","Ed Sheeran",2014-06-21,252760,57,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.464,0.321,2,-11.12,1,0.0418,0.877,0,0.0789,0.306,93.528,4
5v4sZRuvWDcisoOk1PFv6T,"Bloodstream","x (Deluxe Edition)","Ed Sheeran",2014-06-21,300253,61,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.66,0.316,3,-11.567,0,0.0364,0.529,0.000294,0.104,0.543,91.207,4
0xCA70t1ZA4fa9UOE0lIJm,"I'm a Mess","x (Deluxe Edition)","Ed Sheeran",2014-06-21,244573,58,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.697,0.377,3,-7.755,1,0.0397,0.556,0,0.0999,0.336,138.754,4
7oolFzHipTMg2nL7shhdz2,"Eraser","÷ (Deluxe)","Ed Sheeran",2017-03-03,227426,54,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.64,0.812,8,-5.647,0,0.0834,0.086,0,0.0509,0.914,86.013,4
4btFHqumCO31GksfuBLLv3,"Overpass Graffiti","=","Ed Sheeran",2021-10-25,236906,65,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.52,0.849,9,-3.794,0,0.186,0.00253,0,0.119,0.774,175.908,4
1HbcclMpw0q2WDWpdGCKdS,"Tenerife Sea","x (Deluxe Edition)","Ed Sheeran",2014-06-21,241346,65,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.53,0.346,8,-10.497,1,0.0376,0.697,0.0000107,0.105,0.359,121.876,4
2pJZ1v8HezrAoZ0Fhzby92,"What Do I Know?","÷ (Deluxe)","Ed Sheeran",2017-03-03,237333,63,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.838,0.492,1,-5.69,0,0.038,0.251,0,0.262,0.895,115.092,4
0Tel1fmuCxEFV6wBLXsEdk,"Kiss Me","+","Ed Sheeran",2011-09-09,280853,65,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.589,0.227,2,-16.67,1,0.0498,0.64,0.00469,0.0248,0.182,74.993,4
5HDPtsnyb3maFmPL8LLUTG,"New Man","÷ (Deluxe)","Ed Sheeran",2017-03-03,189280,59,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.78,0.745,7,-3.97,1,0.145,0.0559,0,0.0595,0.862,94.026,4
3rmo8F54jFF8OgYsqTxm5d,"Bad Habits","=","Ed Sheeran",2021-10-25,230746,79,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,4
2dfHh7ECGxfNqZTQno09Vk,"Hearts Don't Break Around Here","÷ (Deluxe)","Ed Sheeran",2017-03-03,248413,57,1145499210,2022-11-19T13:21:57Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.604,0.366,7,-7.881,1,0.0267,0.719,0,0.162,0.181,105.177,3
