Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4pbrp5dxpqjfaf4GiS6YuO,"Eyes Wide Open","Eyes Wide Open","Sabrina Carpenter",2015-04-10,192720,55,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.584,0.641,1,-6.637,1,0.0284,0.00435,0.00000122,0.113,0.353,88.033,4
5K7fGxZQB0K5sPKhLe9e07,"Can't Blame a Girl for Trying","Eyes Wide Open","Sabrina Carpenter",2015-04-10,169306,58,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.601,0.392,0,-7.322,1,0.0342,0.449,0,0.13,0.352,143.716,4
5wX5skuafFdeF31vpM6Krl,"The Middle of Starting Over","Eyes Wide Open","Sabrina Carpenter",2015-04-10,212760,46,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.49,0.805,2,-6.041,1,0.0302,0.0107,0,0.381,0.32,92.033,4
7lqkNvVxJdYDCSAwSJNzHs,"We'll Be The Stars","Eyes Wide Open","Sabrina Carpenter",2015-04-10,186880,53,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.563,0.513,5,-5.13,1,0.0259,0.00786,0,0.154,0.428,82.959,4
47hRbUwwBU3E2wyIA8OE4x,"Two Young Hearts","Eyes Wide Open","Sabrina Carpenter",2015-04-10,233600,41,eviww,2021-02-06T22:19:48Z,"pop","Hollywood Records",0.605,0.69,8,-7.512,0,0.0379,0.00394,0,0.134,0.197,110.058,4
1fVnTuUKlhkFqZ6HXV56s6,"Your Love's Like","Eyes Wide Open","Sabrina Carpenter",2015-04-10,209080,43,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.536,0.737,0,-5.776,1,0.0332,0.00621,0.00000152,0.112,0.387,78.016,4
694MyEbGgAtoEVYqdtfvp2,"Too Young","Eyes Wide Open","Sabrina Carpenter",2015-04-10,254346,43,eviww,2021-02-06T22:19:48Z,"pop","Hollywood Records",0.317,0.489,2,-6.899,1,0.0336,0.376,0,0.248,0.165,151.492,3
75s1b4uRCk6UPOPBLNdDIA,"Seamless","Eyes Wide Open","Sabrina Carpenter",2015-04-10,186440,43,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.607,0.295,10,-8.613,1,0.0312,0.817,0,0.0848,0.677,76.797,4
6rdKHwxWa9aqWyoGf1r20v,"Darling I'm a Mess","Eyes Wide Open","Sabrina Carpenter",2015-04-10,179053,39,eviww,2021-01-18T19:57:11Z,"pop","Hollywood Records",0.552,0.484,5,-6.875,1,0.0271,0.672,0,0.124,0.466,89.677,4
3hqJdqziOPbu422kXaOyII,"Right Now","Eyes Wide Open","Sabrina Carpenter",2015-04-10,215226,39,eviww,2021-02-06T22:19:48Z,"pop","Hollywood Records",0.649,0.678,2,-6.233,1,0.0401,0.0407,0,0.156,0.528,107.978,4
6xQdHOX1Tq3IrKsQdLs0nc,"White Flag","Eyes Wide Open","Sabrina Carpenter",2015-04-10,198386,40,eviww,2021-02-06T22:19:48Z,"pop","Hollywood Records",0.678,0.731,8,-4.432,1,0.0256,0.287,0,0.0784,0.86,96.01,4
66g4mn8jSks0Hu1zEcc81G,"Best Thing I Got","Eyes Wide Open","Sabrina Carpenter",2015-04-10,199280,40,eviww,2021-02-06T22:19:48Z,"pop","Hollywood Records",0.671,0.696,6,-5.641,1,0.0273,0.00877,0.000143,0.298,0.629,129.987,4
065CI94mu3IZwqPU4BX4Cb,"Christmas the Whole Year Round","Christmas the Whole Year Round","Sabrina Carpenter",2015-01-01,179426,58,eviww,2023-12-06T11:36:45Z,"pop","Hollywood Records",0.565,0.898,6,-2.956,1,0.0915,0.146,0,0.131,0.962,187.917,4
67zT3NI4tTOj8GreXetF6s,"Smoke and Fire","Smoke and Fire","Sabrina Carpenter",2016-02-19,225010,46,eviww,2021-01-18T19:57:26Z,"pop","Hollywood Records",0.459,0.869,11,-4.125,0,0.0874,0.00567,0.00000172,0.0728,0.53,169.934,4
1Xmjr9Cft2ZdiGVZPxhqCs,"On Purpose","EVOLution","Sabrina Carpenter",2016-10-14,238133,56,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.603,0.781,2,-4.221,0,0.0412,0.0294,0,0.0905,0.252,99.966,4
0QTOY1FBKwC7jA33N8cLSi,"Feels Like Loneliness","EVOLution","Sabrina Carpenter",2016-10-14,200573,42,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.746,0.638,9,-4.766,0,0.0923,0.0975,0.00752,0.173,0.333,127.985,4
6WC5fhc9XMaCrUNKNjm9xE,"Thumbs","EVOLution","Sabrina Carpenter",2016-10-14,216466,72,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.73,0.718,8,-3.496,1,0.0478,0.0284,0,0.0892,0.127,135.045,4
1soAeZZbjaECAC5IH0CNiL,"Thumbs - Acoustic","Thumbs (Acoustic)","Sabrina Carpenter",2017-04-21,204274,32,eviww,2022-10-17T21:54:06Z,"pop","Hollywood Records",0.663,0.319,0,-6.207,0,0.0899,0.591,0,0.123,0.733,128.687,4
7gnUZFwdWMCaLNPDbGaq0Y,"No Words","EVOLution","Sabrina Carpenter",2016-10-14,212586,42,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.72,0.801,1,-3.542,1,0.0763,0.0255,0.00000544,0.298,0.649,94.974,4
24fhYqs2KtWbHfY4Ngdf5U,"Run and Hide","EVOLution","Sabrina Carpenter",2016-10-14,209640,44,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.522,0.362,8,-7.72,1,0.0529,0.863,0,0.161,0.454,155.978,4
1PnDrmc20HzbzfqVA53iYD,"Mirage","EVOLution","Sabrina Carpenter",2016-10-14,205480,42,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.635,0.578,9,-9.64,0,0.0375,0.214,0.0182,0.0928,0.202,101.99,4
2yqhHi9QfZ5INE13sS5Bva,"Don't Want It Back","EVOLution","Sabrina Carpenter",2016-10-14,181853,42,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.523,0.67,3,-3.576,0,0.0313,0.0493,0,0.22,0.511,98.052,4
65RTUeyKsXuiIocxEzYhMY,"Shadows","EVOLution","Sabrina Carpenter",2016-10-14,172426,45,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.532,0.561,0,-3.107,0,0.0347,0.579,0,0.0915,0.288,125.355,4
4uiZziAgyMvmKr4tujpcXm,"Space","EVOLution","Sabrina Carpenter",2016-10-14,186293,41,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.619,0.707,9,-6.035,0,0.0637,0.0597,0.0000502,0.206,0.623,100.1,4
4WFWvM4zjMgjQxmP21ezfO,"All We Have Is Love","EVOLution","Sabrina Carpenter",2016-10-14,182293,42,eviww,2021-01-18T19:57:35Z,"pop","Hollywood Records",0.658,0.699,7,-4.766,1,0.0368,0.499,0.0000125,0.0692,0.437,129.768,4
3h0RJYaohnvXg5SmWD1dZF,"Sign of the Times","Sign of the Times","Jasmine Thompson,Sabrina Carpenter",2017-06-02,253269,40,eviww,2023-12-06T11:42:27Z,"viral pop,pop","Atlantic Records",0.523,0.123,5,-12.906,1,0.0472,0.971,0,0.0658,0.246,130.888,4
1byScELwcJffsdL5QWa6Yk,"Why","Why","Sabrina Carpenter",2017-07-07,171096,61,eviww,2021-01-18T19:57:49Z,"pop","Hollywood Records",0.633,0.557,11,-4.917,0,0.203,0.169,0,0.0671,0.623,89.672,4
