Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2AyFYSaJjz9XMc0kMr1R3a,"Growing Apart (To Get Closer)","Overly Dedicated","Kendrick Lamar,Jhené Aiko",2010-09-14,220995,49,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:30:46Z,"conscious hip hop,hip hop,rap,west coast rap,r&b","Top Dawg Entertainment / Kendrick Lamar",0.586,0.533,8,-9.943,0,0.366,0.368,0,0.175,0.59,106.835,5
53mCo1wDJ12iZNq9LgIeg2,"Ignorance Is Bliss","Overly Dedicated","Kendrick Lamar",2010-09-14,210494,52,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:30:50Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.644,0.801,7,-4.55,1,0.387,0.511,0.00000859,0.614,0.764,82.156,4
6TRVvpoVFwyYyIGTFh0Y7P,"P&P 1.5","Overly Dedicated","Kendrick Lamar,Ab-Soul",2010-09-14,361942,51,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:30:54Z,"conscious hip hop,hip hop,rap,west coast rap,underground hip hop","Top Dawg Entertainment / Kendrick Lamar",0.55,0.692,6,-7.438,0,0.369,0.299,0.00000657,0.198,0.593,146.453,4
6ff9CLXYk39PKFYoYCYeog,"Alien Girl (Today W/ Her)","Overly Dedicated","Kendrick Lamar",2010-09-14,239973,49,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:30:56Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.626,0.537,2,-7.344,1,0.0367,0.502,0.0835,0.111,0.259,95.948,4
1S6NpdvFXqHZfPUUEOIjtG,"Opposites Attract (Tomorrow W/O Her)","Overly Dedicated","Kendrick Lamar,JaVonté",2010-09-14,271909,51,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:00Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.608,0.814,6,-5.908,1,0.435,0.657,0.00000586,0.256,0.587,192.157,4
1oH44ACGSLbJGcbw2JLQOt,"Michael Jordan","Overly Dedicated","Kendrick Lamar,ScHoolboy Q",2010-09-14,350698,45,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:03Z,"conscious hip hop,hip hop,rap,west coast rap,gangster rap,pop rap,southern hip hop,trap","Top Dawg Entertainment / Kendrick Lamar",0.713,0.803,9,-5.311,1,0.287,0.0759,0,0.129,0.522,153.987,4
1DCLOAT1E5NDZDupAE95ka,"R.O.T.C (Interlude)","Overly Dedicated","Kendrick Lamar,BJ The Chicago Kid",2010-09-14,163105,44,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:07Z,"conscious hip hop,hip hop,rap,west coast rap,alternative r&b,chicago rap","Top Dawg Entertainment / Kendrick Lamar",0.645,0.779,6,-7.265,0,0.316,0.324,0,0.65,0.368,98.405,4
7M2cKcvCnflzp9WcxGjlbm,"Barbed Wire","Overly Dedicated","Kendrick Lamar,Ash Riser",2010-09-14,265678,51,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:10Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.613,0.843,7,-8.343,1,0.186,0.0152,0,0.0917,0.325,102.968,4
3r4S1J4YCkx2fuqH2eL9fz,"Average Joe","Overly Dedicated","Kendrick Lamar",2010-09-14,256048,47,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:15Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.74,0.733,9,-3.343,0,0.248,0.243,0,0.184,0.218,91.603,4
0bP9mtOuBLMQ7L0DP2wPwj,"H.O.C","Overly Dedicated","Kendrick Lamar",2010-09-14,316975,45,xiykkvdrygl6k44c9emnb6bfd,2021-05-14T11:31:18Z,"conscious hip hop,hip hop,rap,west coast rap","Top Dawg Entertainment / Kendrick Lamar",0.613,0.591,2,-8.58,1,0.391,0.105,0,0.191,0.371,77.124,4
