Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5mTL8ZHcB2LJdlrR78xJYr,"Heartless (feat. Morgan Wallen)","Do Si Do","Diplo,Morgan Wallen",2020-04-17,169226,0,isabella.glengowan,2020-05-08T04:14:23Z,"dance pop,edm,electro house,moombahton,pop dance,contemporary country","Columbia",0.764,0.555,11,-6.414,1,0.0604,0.275,0,0.0824,0.255,111.004,4
5MwynWK9s4hlyKHqhkNn4A,"Chasin' You","If I Know Me","Morgan Wallen",2018-04-27,205453,30,isabella.glengowan,2020-05-08T04:13:12Z,"contemporary country","Big Loud Records",0.631,0.591,7,-5.785,1,0.0277,0.657,0,0.11,0.489,97.074,4
6FniJZn4agmDtPx1pKZQsa,"More Than My Hometown","More Than My Hometown","Morgan Wallen",2020-04-17,216573,0,isabella.glengowan,2020-05-08T04:11:58Z,"contemporary country","Big Loud Records",0.621,0.882,6,-5.01,1,0.0459,0.601,0,0.132,0.574,126.014,4
6foY66mWZN0pSRjZ408c00,"Whiskey Glasses","If I Know Me","Morgan Wallen",2018-04-27,234346,33,isabella.glengowan,2020-05-08T04:11:42Z,"contemporary country","Big Loud Records",0.614,0.68,6,-4.58,1,0.0289,0.369,0.00000184,0.115,0.707,149.959,4
0Z0kNthq0sS4lvGz9SSlBF,"7 Summers","7 Summers","Morgan Wallen",2020-08-14,210122,0,isabella.glengowan,2020-08-14T06:19:11Z,"contemporary country","Big Loud Records",0.625,0.775,0,-5.199,1,0.0248,0.431,0.0000523,0.12,0.588,101.961,4
3xca35T5BVLg4ePuVzc7wW,"Had Me By Halftime","If I Know Me","Morgan Wallen",2018-04-27,172080,12,isabella.glengowan,2020-05-08T04:11:45Z,"contemporary country","Big Loud Records",0.49,0.889,6,-2.94,1,0.0363,0.109,0,0.168,0.672,144.089,4
03d8S7FBY2kIzhP0E7l4rn,"If I Know Me","If I Know Me","Morgan Wallen",2018-04-27,157693,21,isabella.glengowan,2020-05-08T04:13:08Z,"contemporary country","Big Loud Records",0.777,0.604,8,-5.813,1,0.12,0.765,0.0000679,0.11,0.672,99.934,4
7N3MO5mFhgoH2VRvydLxsJ,"If I Ever Get You Back","If I Know Me","Morgan Wallen",2018-04-27,173960,8,isabella.glengowan,2020-05-08T04:13:21Z,"contemporary country","Big Loud Records",0.673,0.876,0,-3.338,1,0.0345,0.0138,0,0.211,0.962,139.951,4
7oSq5fbsFkTS9zeJQwMihf,"This Bar","This Bar","Morgan Wallen",2019-12-31,185733,0,isabella.glengowan,2020-05-08T04:13:29Z,"contemporary country","Big Loud Records",0.545,0.884,2,-5.208,1,0.0817,0.115,0.000424,0.0496,0.272,110.015,4
3EWMoDIm6lzuR0zQKtuCJX,"Up Down (feat. Florida Georgia Line)","If I Know Me","Morgan Wallen,Florida Georgia Line",2018-04-27,197253,27,isabella.glengowan,2020-05-08T04:12:19Z,"contemporary country,country,country pop,country road,modern country rock","Big Loud Records",0.589,0.882,6,-3.039,1,0.035,0.0813,0,0.146,0.793,129.915,4
2woGHWgrFfjXAgdUsitbqr,"Happy Hour","If I Know Me","Morgan Wallen",2018-04-27,199840,11,isabella.glengowan,2020-05-08T04:12:33Z,"contemporary country","Big Loud Records",0.616,0.835,7,-4.277,1,0.0354,0.162,0,0.0977,0.8,97.96,4
6DWntCW0Z8ZyNgDoPojfpW,"Whatcha Know 'Bout That","If I Know Me","Morgan Wallen",2018-04-27,194720,8,isabella.glengowan,2020-05-08T04:12:38Z,"contemporary country","Big Loud Records",0.587,0.888,2,-5.062,1,0.0347,0.318,0.000134,0.0449,0.976,74.022,4
6mcuK40HmzARZP56q9HE40,"Redneck Love Song","If I Know Me","Morgan Wallen",2018-04-27,189973,11,isabella.glengowan,2020-05-08T04:12:50Z,"contemporary country","Big Loud Records",0.75,0.835,5,-4.848,1,0.0312,0.399,0,0.0421,0.923,140.034,4
