Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
55p2vU6F6gtC21UU0y0SRu,"Baby Don’t Hurt Me","New Music","David Guetta,Anne-Marie,Coi Leray",2024-05-16,140017,7,dylplut,2024-12-04T21:56:04Z,"big room,dance pop,edm,pop,pop dance,new jersey underground rap,trap queen","Warner Music Group - X5 Music Group",0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,4
4Cmzch8rGHp6duhacCjyuz,"That’s Not How This Works (Sabrina's Version) [feat. Dan + Shay & Sabrina Carpenter] - Sabrina’s Version","New Music","Charlie Puth,Dan + Shay,Sabrina Carpenter",2024-05-16,166640,6,dylplut,2024-12-04T21:56:04Z,"pop,viral pop,contemporary country,country,country road","Warner Music Group - X5 Music Group",0.56,0.597,9,-3.929,1,0.047,0.54,0,0.0945,0.534,170.045,4
3rjmrsycb4TmEKwdzZKL7f,"Little Runaway","New Music","Benson Boone",2024-05-16,195277,6,dylplut,2024-12-04T21:56:04Z,"singer-songwriter pop","Warner Music Group - X5 Music Group",0.546,0.442,0,-6.541,1,0.0286,0.24,0,0.122,0.323,89.019,4
6xfdfF6Dqw3WZ8GnRM4qHp,"american jesus","New Music","Nessa Barrett",2024-05-16,168899,5,dylplut,2024-12-04T21:56:04Z,"alt z,social media pop","Warner Music Group - X5 Music Group",0.652,0.431,9,-7.375,0,0.0363,0.317,0,0.234,0.429,94.901,4
1SPADrqG48qerkebNRiDK8,"La Bebe - Remix","New Music","Yng Lvcas,Peso Pluma",2024-05-16,234352,5,dylplut,2024-12-04T21:56:04Z,"reggaeton,urbano mexicano,corridos tumbados,sad sierreno","Warner Music Group - X5 Music Group",0.812,0.479,2,-5.678,0,0.333,0.213,0.00000121,0.0756,0.559,169.922,4
4JC1eWR0z6ssYOuKcYfKmR,"Glad U Came","New Music","Jason Derulo",2024-05-16,178080,4,dylplut,2024-12-04T21:56:04Z,"dance pop,pop","Warner Music Group - X5 Music Group",0.675,0.801,8,-3.707,1,0.0579,0.00627,0,0.371,0.521,112.002,4
53LLc9ugPe87dmStlsijyb,"Flowers","New Music","SMYLES",2024-05-16,196721,4,dylplut,2024-12-04T21:56:04Z,"","Warner Music Group - X5 Music Group",0.782,0.56,9,-9.528,0,0.073,0.0558,0.00000139,0.11,0.771,122.001,4
73qifXOa5o3V6WaThAn1hb,"Sittin’ on Top of the World","New Music","Burna Boy",2024-05-16,159372,4,dylplut,2024-12-04T21:56:04Z,"afrobeats,dancehall,nigerian hip hop,nigerian pop","Warner Music Group - X5 Music Group",0.787,0.848,8,-4.095,1,0.0516,0.0279,0.0058,0.109,0.681,98.051,4
4yKbmnDKjXiEYRQKdNAzHt,"Lost the Breakup","New Music","Maisie Peters",2024-05-16,189413,3,dylplut,2024-12-04T21:56:04Z,"alt z,uk pop","Warner Music Group - X5 Music Group",0.593,0.884,4,-3.313,1,0.0767,0.0351,0.00000554,0.487,0.607,147.092,4
3JeEuifZ8VhSOf0wHRA4Fc,"Eyes Wide Shut","New Music","ILLENIUM,Avril Lavigne,Travis Barker",2024-05-16,152331,5,dylplut,2024-12-04T21:56:04Z,"edm,melodic dubstep,pop dance,canadian pop,candy pop,dance pop,pop,rap rock","Warner Music Group - X5 Music Group",0.573,0.848,4,-3.413,1,0.0474,0.0122,0.0000229,0.4,0.418,89.978,4
2dsQaSL7Zbqnvw8awOxsTR,"Religiously","New Music","Bailey Zimmerman",2024-05-16,178723,3,dylplut,2024-12-04T21:56:04Z,"contemporary country,modern country pop","Warner Music Group - X5 Music Group",0.57,0.67,1,-6.519,1,0.0275,0.426,0,0.108,0.592,140.924,4
7hoKj8LuToBrO6fk5hNYAY,"Malibu","New Music","Ali Gatie",2024-05-16,192273,3,dylplut,2024-12-04T21:56:04Z,"canadian hip hop","Warner Music Group - X5 Music Group",0.796,0.317,0,-9.937,1,0.0673,0.758,0,0.34,0.367,91.992,4
34BVOOYXgiBLm2oWMdrPrB,"VOID","New Music","Melanie Martinez",2024-05-16,247875,3,dylplut,2024-12-04T21:56:04Z,"alt z,electropop,pop","Warner Music Group - X5 Music Group",0.715,0.656,9,-7.257,1,0.0421,0.178,0.0378,0.186,0.417,99.996,4
49cuLkPez4IgSz8qmjYrRf,"soso","New Music","Omah Lay,Ozuna",2024-05-16,202012,3,dylplut,2024-12-04T21:56:04Z,"afrobeats,puerto rican pop,reggaeton,trap latino,urbano latino","Warner Music Group - X5 Music Group",0.739,0.669,3,-7.557,0,0.119,0.426,0.00474,0.11,0.609,104.971,4
71696yvLIjHqcRhGdVseQf,"Private Landing (feat. Justin Bieber & Future)","New Music","Don Toliver,Justin Bieber,Future",2024-05-16,238253,3,dylplut,2024-12-04T21:56:04Z,"rap,canadian pop,pop,atl hip hop,hip hop,southern hip hop,trap","Warner Music Group - X5 Music Group",0.858,0.641,1,-4.31,0,0.0954,0.111,0.0000212,0.109,0.445,136.991,4
3bJcMrvl66ILKFW7Jstaky,"Dawns (feat. Maggie Rogers)","New Music","Zach Bryan,Maggie Rogers",2024-05-16,290892,3,dylplut,2024-12-04T21:56:04Z,"classic oklahoma country,indie pop","Warner Music Group - X5 Music Group",0.447,0.441,0,-7.658,1,0.0456,0.874,0.0000436,0.188,0.286,122.811,4
6GnBX5hFYnDgdAVvXjE9kY,"Cinderella Snapped","New Music","Jax",2024-05-16,173103,4,dylplut,2024-12-04T21:56:04Z,"gen z singer-songwriter,singer-songwriter pop","Warner Music Group - X5 Music Group",0.752,0.522,1,-5.993,1,0.0507,0.0193,0,0.105,0.65,139.936,3
3YbgHhuAwf2S9zHch1wdMe,"Lipstick Lover","New Music","Janelle Monáe",2024-05-16,169386,2,dylplut,2024-12-04T21:56:04Z,"afrofuturism,alternative r&b,atl hip hop,neo soul,r&b","Warner Music Group - X5 Music Group",0.588,0.434,6,-7.531,0,0.113,0.303,0,0.25,0.657,169.983,4
1dUGShZXh6sdz0eIEC4yjY,"Lost","New Music","Linkin Park",2024-05-16,199342,4,dylplut,2024-12-04T21:56:04Z,"alternative metal,nu metal,post-grunge,rap metal,rock","Warner Music Group - X5 Music Group",0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,4
2QuKnxvTYocrIbnYwsHMcE,"favorite kind of high","New Music","Kelly Clarkson",2024-05-16,175247,2,dylplut,2024-12-04T21:56:04Z,"dance pop,pop,talent show","Warner Music Group - X5 Music Group",0.747,0.802,11,-5.859,1,0.0346,0.0117,0.0102,0.275,0.552,120.012,4
0CsCW0P7cTGwVtlXD6BYA2,"They Don’t Love It","New Music","Jack Harlow",2024-05-16,113292,3,dylplut,2024-12-04T21:56:04Z,"deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap","Warner Music Group - X5 Music Group",0.536,0.814,1,-5.407,1,0.306,0.0388,0,0.143,0.851,96.7,4
6ODZSEtKvVeqcV3Szz3f4Y,"Pretty Little Poison","New Music","Warren Zeiders",2024-05-16,218260,3,dylplut,2024-12-04T21:56:04Z,"modern country pop","Warner Music Group - X5 Music Group",0.494,0.567,1,-4.156,1,0.0334,0.0235,0.0000024,0.146,0.22,112.011,3
3l1rfPinB4l5D2sQqoqxzt,"Spicy","New Music","aespa",2024-05-16,197040,3,dylplut,2024-12-04T21:56:04Z,"k-pop girl group","Warner Music Group - X5 Music Group",0.757,0.898,11,-1.247,0,0.0667,0.0138,0,0.0703,0.842,114.949,4
6ve3qfDxjTHOM0icMHWGcY,"The Narcissist","New Music","Blur",2024-05-16,245225,2,dylplut,2024-12-04T21:56:04Z,"alternative rock,britpop,madchester,permanent wave,rock","Warner Music Group - X5 Music Group",0.563,0.908,1,-5.318,0,0.034,0.0363,0.0000314,0.571,0.525,127.969,4
2V99lE5BYPPvqm7C933bYo,"06 Gucci","New Music","Gucci Mane,DaBaby,21 Savage",2024-05-16,178950,2,dylplut,2024-12-04T21:56:04Z,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap,north carolina hip hop","Warner Music Group - X5 Music Group",0.786,0.719,0,-7.487,0,0.295,0.252,0,0.301,0.804,130.081,4
0QSL1XepuVAieUfYgmc5O9,"Feel like This","New Music","Ingrid Andress",2024-05-16,196162,2,dylplut,2024-12-04T21:56:04Z,"contemporary country,country pop","Warner Music Group - X5 Music Group",0.536,0.605,7,-5.292,1,0.0338,0.141,0,0.0614,0.341,130.053,4
5bAVZl0OoZemVpw7nf0zdD,"Special (feat. SZA)","New Music","Lizzo,SZA",2024-05-16,174748,2,dylplut,2024-12-04T21:56:04Z,"escape room,minnesota hip hop,pop,trap queen,r&b,rap","Warner Music Group - X5 Music Group",0.464,0.724,7,-5.019,1,0.0705,0.0188,0,0.679,0.303,82.526,4
0nvHYUlS0fnkbJVVg9P1tt,"Here We Go Again","New Music","Oliver Tree,David Guetta",2024-05-16,164541,3,dylplut,2024-12-04T21:56:04Z,"alternative hip hop,big room,dance pop,edm,pop,pop dance","Warner Music Group - X5 Music Group",0.553,0.943,8,-3.741,0,0.0567,0.00784,0.000104,0.056,0.375,129.963,4
7KjNvZAcWA0TTbKiiqNQQs,"Look at Us Now (Honeycomb)","New Music","Daisy Jones & The Six",2024-05-16,332386,2,dylplut,2024-12-04T21:56:04Z,"modern folk rock","Warner Music Group - X5 Music Group",0.323,0.761,7,-6.143,1,0.0479,0.00942,0.000586,0.0827,0.466,141.282,4
3Hy69o6wBmUkVsh1R7taEe,"Dancing’s Done","New Music","Ava Max",2024-05-16,166906,3,dylplut,2024-12-04T21:56:04Z,"pop","Warner Music Group - X5 Music Group",0.567,0.865,1,-3.642,0,0.0605,0.063,0,0.111,0.18,113.966,4
62nd2CHSE4dt8nz5tVIcVC,"HALLELUJAH (feat. Blaqbonez)","New Music","CKay,Blaqbonez",2024-05-16,137142,2,dylplut,2024-12-04T21:56:04Z,"afro r&b,afrobeats,nigerian hip hop,nigerian pop","Warner Music Group - X5 Music Group",0.772,0.528,0,-8.906,0,0.0407,0.031,0.01,0.117,0.52,111.989,4
0j4Fhc9XaQbtI212RpPXLu,"Born to Be Alive","New Music","Bea and her Business",2024-05-16,157068,2,dylplut,2024-12-04T21:56:04Z,"","Warner Music Group - X5 Music Group",0.361,0.458,11,-6.176,1,0.0318,0.803,0.0144,0.15,0.224,74.864,4
6Zsgk5fBglZny1rHXPjTEd,"Summer of Luv (feat. Unknown Mortal Orchestra)","New Music","Portugal. The Man,Unknown Mortal Orchestra",2024-05-16,159241,2,dylplut,2024-12-04T21:56:04Z,"indie rock,indietronica,modern alternative rock,modern rock,art pop,indie soul,kiwi rock,neo-psychedelic,portland hip hop,psychedelic pop","Warner Music Group - X5 Music Group",0.633,0.856,7,-4.66,0,0.0583,0.143,0.00865,0.594,0.892,76.006,4
5UhHr1BDtESuh8AunN1oi8,"Seasons","New Music","Bebe Rexha,Dolly Parton",2024-05-16,203427,2,dylplut,2024-12-04T21:56:04Z,"dance pop,pop,classic country pop,country,country dawn","Warner Music Group - X5 Music Group",0.638,0.411,4,-8.046,0,0.0283,0.475,0.000167,0.101,0.512,93.969,4
6CleSjlKufTHQyS3tMU3c9,"Fool 4 U (feat. Enisa)","New Music","Galantis,JVKE,Enisa",2024-05-16,146076,2,dylplut,2024-12-04T21:56:04Z,"dance pop,edm,pop,pop dance,progressive electro house,modern indie pop,pov: indie,singer-songwriter pop","Warner Music Group - X5 Music Group",0.741,0.553,11,-5.182,0,0.0519,0.12,0,0.112,0.507,120.996,4
1kYtKcrzw8m7aH0p0m8bA2,"Cha Cha Cha","New Music","Käärijä",2024-05-16,175161,2,dylplut,2024-12-04T21:56:04Z,"finnish pop","Warner Music Group - X5 Music Group",0.718,0.791,2,-5.572,1,0.0447,0.00207,0.00292,0.111,0.743,155.082,4
17vZbqSqZaCEwBLQ1ijJSw,"Ribbons","New Music","Ryan Beatty",2024-05-16,197653,2,dylplut,2024-12-04T21:56:04Z,"bedroom soul","Warner Music Group - X5 Music Group",0.404,0.25,3,-13.286,1,0.0404,0.926,0.0144,0.146,0.244,137.829,4
3zwa6fbpghYMTXymPNtzC6,"Oh Baby (feat. bshp & Issey Cross)","New Music","Nathan Dawe,Bru-C,bshp,Issey Cross",2024-05-16,148236,1,dylplut,2024-12-04T21:56:04Z,"pop dance,uk dance,bassline,charva,nottingham hip hop","Warner Music Group - X5 Music Group",0.798,0.947,11,-3.532,0,0.0551,0.0682,0.00000326,0.067,0.58,136.034,4
7Hsmm19e5fWr0Su89Z0bpC,"Worms","New Music","Ashnikko",2024-05-16,148690,2,dylplut,2024-12-04T21:56:04Z,"alt z,escape room","Warner Music Group - X5 Music Group",0.825,0.716,7,-3.236,0,0.0598,0.26,0,0.284,0.834,140.038,4
3QWW8Qb9eixmF2Ug8xRarw,"Elephant in the Room","New Music","Rowan Drake",2024-05-16,161210,3,dylplut,2024-12-04T21:56:04Z,"singer-songwriter pop","Warner Music Group - X5 Music Group",0.494,0.299,1,-12.741,1,0.0296,0.852,0.00000396,0.176,0.48,76.626,4
3Ho8Y6XGhxVeI7NIlvBYRZ,"Sweet Goodbye","New Music","Robin Schulz",2024-05-16,157619,2,dylplut,2024-12-04T21:56:04Z,"deep euro house,deep house,edm,german dance,pop dance,tropical house","Warner Music Group - X5 Music Group",0.65,0.746,6,-7.55,1,0.0359,0.0213,0.0116,0.182,0.385,125.998,4
4kXx0UxchwYBSTRUlyvbPP,"Miss Me the Same (feat. Anson Seabra)","New Music","Sara Kays,Anson Seabra",2024-05-16,216992,3,dylplut,2024-12-04T21:56:04Z,"alt z,gen z singer-songwriter,modern indie pop","Warner Music Group - X5 Music Group",0.615,0.558,0,-8.539,1,0.0354,0.282,0.00151,0.649,0.246,136.033,4
0w6KrsMoJFLY4eTFHyzoB1,"What More Can I Say","New Music","Teddy Swims",2024-05-16,141141,2,dylplut,2024-12-04T21:56:04Z,"","Warner Music Group - X5 Music Group",0.663,0.822,0,-4.124,1,0.102,0.0115,0,0.303,0.663,99.938,4
3MJwmtN5piGr9gDf2NsFig,"Raincatchers","New Music","Birdy",2024-05-16,239550,2,dylplut,2024-12-04T21:56:04Z,"neo mellow,uk pop,viral pop","Warner Music Group - X5 Music Group",0.669,0.552,5,-5.897,0,0.0434,0.382,0.00000155,0.0995,0.317,120.044,4
0FdCmtAozNCyegHtjQTsQ0,"Something to Hide","New Music","grandson",2024-05-16,119047,2,dylplut,2024-12-04T21:56:04Z,"modern alternative rock,modern rock,pov: indie,rock","Warner Music Group - X5 Music Group",0.557,0.794,8,-4.954,1,0.0639,0.262,0,0.0922,0.752,150,4
0ZGireYoVu47T9KeJvqhcm,"everybody hates me","New Music","GAYLE",2024-05-16,120287,2,dylplut,2024-12-04T21:56:04Z,"alt z,modern alternative pop","Warner Music Group - X5 Music Group",0.678,0.847,2,-5.711,0,0.078,0.0507,0,0.757,0.709,109.971,4
2OG5GkmKzFe9iR1gDSMyXG,"Mountain","New Music","Sam Ryder",2024-05-16,169479,2,dylplut,2024-12-04T21:56:04Z,"uk pop","Warner Music Group - X5 Music Group",0.608,0.776,1,-3.087,1,0.0424,0.113,0,0.127,0.344,91.016,4
55eerq675bH1l9JfIFr8Kv,"Can’t Forget You (feat. James Blunt)","New Music","James Carter,Ofenbach,James Blunt",2024-05-16,149091,2,dylplut,2024-12-04T21:56:04Z,"pop dance,uk dance,neo mellow","Warner Music Group - X5 Music Group",0.719,0.727,6,-5.933,1,0.0389,0.0315,0.163,0.0591,0.532,123.988,4
2p6FdcSxvvqxK3Qm1posI7,"Chasing Shadows","New Music","Alex Warren",2024-05-16,164027,2,dylplut,2024-12-04T21:56:04Z,"gen z singer-songwriter,singer-songwriter pop","Warner Music Group - X5 Music Group",0.78,0.604,1,-8.039,0,0.0403,0.556,0,0.112,0.404,120.017,4
6fyv5YqoHCbgD9U0B4tvSq,"Shades of Love (feat. The Joy)","New Music","The Blessed Madonna,The Joy",2024-05-16,203520,1,dylplut,2024-12-04T21:56:04Z,"edm,uk dance","Warner Music Group - X5 Music Group",0.577,0.902,8,-4.89,0,0.0867,0.00778,0.0000132,0.236,0.59,125.06,4
