name,id,popularity,genres,followers
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,93,"['chicago rap', 'hip hop', 'rap']",28186830
Drake,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",93821206
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,80,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",7305328
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,96,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",34778236
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,94,"['rap', 'slap house']",34884564
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,82,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",6732590
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,89,['rap'],9760300
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,94,"['hip hop', 'rap']",18039471
Pi’erre Bourne,3x3jSlhyv5CiCZDZlaTq0M,62,['melodic rap'],1049434
Mac Miller,4LLpKhyESsyAXpc4laK94U,84,"['hip hop', 'pittsburgh rap', 'rap']",11061956
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,87,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",25112468
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,87,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",18089457
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,89,"['emo rap', 'miami hip hop', 'rap']",47784287
21 Savage,1URnnhqYAYcrqrcwql10ft,89,"['atl hip hop', 'hip hop', 'rap']",20799291
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,74,"['conscious hip hop', 'hip hop', 'rap']",3620606
Dreamville,1iNqsUDUraNWrj00bqssQG,66,"['hip hop', 'pop rap', 'rap']",718591
MF DOOM,2pAWfrd7WFF3XhVt9GooDL,78,"['east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']",3546848
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,83,"['melodic rap', 'rap', 'trap']",10027324
Knucks,6W4vm8P3JFQboO4cvHeqaa,66,['melodic drill'],448563
Tame Impala,5INjqkS1o8h1imAzPqGZBb,81,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",8345320
Cordae,0huGjMyP507tBCARyzSkrv,72,"['hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",2064637
Baby Keem,5SXuuuRpukkTvsLuUknva1,78,"['hip hop', 'rap']",2671572
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,90,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",12387369
Lil Yachty,6icQOAFXDZKsumw3YXyusw,81,"['atl hip hop', 'melodic rap', 'rap', 'trap']",10333286
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,86,"['east coast hip hop', 'hip hop', 'rap']",15414945
Future,1RyvyyTE3xzB2ZywiAwp0i,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",19419756
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,85,"['r&b', 'rap']",6784129
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,82,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",11240456
Eminem,7dGJo4pcD2V6oG8kP0tJRR,93,"['detroit hip hop', 'hip hop', 'rap']",93866930
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,88,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8423606
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,92,"['chicago rap', 'melodic rap', 'rap']",36638365
